season,celebrity_name,results,exit_type,elimination_week,exit_week_inferred,last_active_week,n_rows,n_eliminated_flags,n_withdrew_flags,issues
1,Evander Holyfield,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
1,Joey McIntyre,3rd Place,unknown,,,5,5,0,0,
1,John O'Hurley,2nd Place,unknown,,,6,6,0,0,
1,Kelly Monaco,1st Place,unknown,,,6,6,0,0,
1,Rachel Hunter,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
1,Trista Sutter,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
2,Drew Lachey,1st Place,unknown,,,8,8,0,0,
2,George Hamilton,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
2,Giselle Fernandez,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
2,Jerry Rice,2nd Place,unknown,,,8,8,0,0,
2,Kenny Mayne,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
2,Lisa Rinna,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
2,Master P,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
2,Stacy Keibler,3rd Place,unknown,,,8,8,0,0,
2,Tatum O'Neal,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
2,Tia Carrere,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
3,Emmitt Smith,1st Place,unknown,,,10,10,0,0,
3,Harry Hamlin,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
3,Jerry Springer,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
3,Joey Lawrence,3rd Place,unknown,,,9,9,0,0,
3,Mario Lopez,2nd Place,unknown,,,10,10,0,0,
3,Monique Coleman,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
3,Sara Evans,Withdrew,withdrew,,5.0,5,5,0,1,
3,Shanna Moakler,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
3,Tucker Carlson,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
3,Vivica A. Fox,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
3,Willa Ford,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
4,Apolo Anton Ohno,1st Place,unknown,,,10,10,0,0,
4,Billy Ray Cyrus,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
4,Clyde Drexler,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
4,Heather Mills,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
4,Ian Ziering,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
4,Joey Fatone,2nd Place,unknown,,,10,10,0,0,
4,John Ratzenberger,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
4,Laila Ali,3rd Place,unknown,,,10,10,0,0,
4,Leeza Gibbons,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
4,Paulina Porizkova,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
4,Shandi Finnessey,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
5,Albert Reed,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
5,Cameron Mathison,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
5,Floyd Mayweather Jr. ,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
5,Helio Castroneves,1st Place,unknown,,,10,10,0,0,
5,Jane Seymour,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
5,Jennie Garth,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
5,Josie Maran,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
5,Marie Osmond,3rd Place,unknown,,,10,10,0,0,
5,Mark Cuban,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
5,Mel B,2nd Place,unknown,,,10,10,0,0,
5,Sabrina Bryan,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
5,Wayne Newton,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
6,Adam Carolla,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
6,Cristian de la Fuente,3rd Place,unknown,,,10,10,0,0,
6,Jason Taylor,2nd Place,unknown,,,10,10,0,0,
6,Kristi Yamaguchi,1st Place,unknown,,,10,10,0,0,
6,Mario,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
6,Marissa Jaret Winokur,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
6,Marlee Matlin,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
6,Monica Seles,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
6,Penn Jillette,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
6,Priscilla Presley,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
6,Shannon Elizabeth,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
6,Steve Guttenberg,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
7,Brooke Burke,1st Place,unknown,,,10,10,0,0,
7,Cloris Leachman,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
7,Cody Linley,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
7,Jeffrey Ross,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
7,Kim Kardashian,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
7,Lance Bass,3rd Place,unknown,,,10,10,0,0,
7,Maurice Greene,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
7,Misty May-Treanor,Withdrew,withdrew,,2.0,2,2,0,1,
7,Rocco DiSpirito,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
7,Susan Lucci,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
7,Ted McGinley,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
7,Toni Braxton,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
7,Warren Sapp,2nd Place,unknown,,,10,10,0,0,
8,Belinda Carlisle,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
8,Chuck Wicks,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
8,David Alan Grier,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
8,Denise Richards,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
8,Gilles Marini,2nd Place,unknown,,,11,11,0,0,
8,Holly Madison,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
8,Lawrence Taylor,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
8,Lil' Kim,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
8,Melissa Rycroft,3rd Place,unknown,,,11,11,0,0,
8,Shawn Johnson,1st Place,unknown,,,11,11,0,0,
8,Steve Wozniak,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
8,Steve-O,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
8,Ty Murray,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
9,Aaron Carter,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
9,Ashley Hamiliton,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
9,Chuck Liddell,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
9,Debi Mazar,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
9,Donny Osmond,1st Place,unknown,,,10,10,0,0,
9,Joanna Krupa,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
9,Kathy Ireland,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
9,Kelly Osbourne,3rd Place,unknown,,,10,10,0,0,
9,Louie Vito,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
9,Macy Gray,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
9,Mark Dacascos,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
9,Melissa Joan Hart,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
9,Michael Irvin,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
9,Mya,2nd Place,unknown,,,10,10,0,0,
9,Natalie Coughlin,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
9,Tom DeLay,Withdrew,withdrew,,3.0,3,3,0,1,
10,Aiden Turner,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
10,Buzz Aldrin,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
10,Chad Ochocinco,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
10,Erin Andrews,3rd Place,unknown,,,10,10,0,0,
10,Evan Lysacek,2nd Place,unknown,,,10,10,0,0,
10,Jake Pavelka,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
10,Kate Gosselin,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
10,Nicole Scherzinger,1st Place,unknown,,,10,10,0,0,
10,Niecy Nash,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
10,Pamela Anderson,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
10,Shannen Doherty,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
11,Audrina Patridge,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
11,Brandy,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
11,Bristol Palin,3rd Place,unknown,,,10,10,0,0,
11,David Hasselhoff,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
11,Florence Henderson,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
11,Jennifer Grey,1st Place,unknown,,,10,10,0,0,
11,Kurt Warner,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
11,Kyle Massey,2nd Place,unknown,,,10,10,0,0,
11,Margaret Cho,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
11,Michael Bolton,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
11,Rick Fox,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
11,The Situation,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
12,Chelsea Kane,3rd Place,unknown,,,10,10,0,0,
12,Chris Jericho,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
12,Hines Ward,1st Place,unknown,,,10,10,0,0,
12,Kendra Wilkinson,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
12,Kirstie Alley,2nd Place,unknown,,,10,10,0,0,
12,Mike Catherwood,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
12,Petra Nemcova,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
12,Ralph Macchio,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
12,Romeo,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
12,Sugar Ray Leonard,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
12,Wendy Williams,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
13,Carson Kressley,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
13,Chaz Bono,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
13,Chynna Phillips,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
13,David Arquette,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
13,Elisabetta Canalis,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
13,Hope Solo,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
13,J.R. Martinez,1st Place,unknown,,,10,10,0,0,
13,Kristin Cavallari,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
13,Metta World Peace (Ron),Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
13,Nancy Grace,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
13,Ricki Lake,3rd Place,unknown,,,10,10,0,0,
13,Rob Kardashian,2nd Place,unknown,,,10,10,0,0,
14,Donald Driver,1st Place,unknown,,,10,10,0,0,
14,Gavin DeGraw,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
14,Gladys Knight,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
14,Jack Wagner,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
14,Jaleel White,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
14,Katherine Jenkins,2nd Place,unknown,,,10,10,0,0,
14,Maria Menounos,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
14,Martina Navratilova,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
14,Melissa Gilbert,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
14,Roshon Fegan,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
14,Sherri Sheperd,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
14,William Levy,3rd Place,unknown,,,10,10,0,0,
15,Apolo Anton Ohno,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
15,Bristol Palin,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
15,Drew Lachey,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
15,Emmitt Smith,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
15,Gilles Marini,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
15,Helio Castroneves,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
15,Joey Fatone,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
15,Kelly Monaco,3rd Place,unknown,,,10,10,0,0,
15,Kirstie Alley,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
15,Melissa Rycroft,1st Place,unknown,,,10,10,0,0,
15,Pamela Anderson,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
15,Sabrina Bryan,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
15,Shawn Johnson,2nd Place,unknown,,,10,10,0,0,
16,Alexandra Raisman,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
16,Andy Dick,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
16,D. L. Hughley,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
16,Dorothy Hamill,Withdrew,withdrew,,2.0,2,2,0,1,
16,Ingo Rademacher,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
16,Jacoby Jones,3rd Place,unknown,,,10,10,0,0,
16,Kellie Pickler,1st Place,unknown,,,10,10,0,0,
16,Lisa Vanderpump,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
16,Sean Lowe,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
16,Victor Ortiz,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
16,Wynonna Judd,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
16,Zendaya,2nd Place,unknown,,,10,10,0,0,
17,Amber Riley,1st Place,unknown,,,11,11,0,0,
17,Bill Engvall,Eliminated Week 11,eliminated,11.0,11.0,11,11,1,0,
17,Bill Nye,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
17,Brant Daugherty,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
17,Christina Milian,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
17,Corbin Bleu,2nd Place,unknown,,,11,11,0,0,
17,Elizabeth Berkley Lauren,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
17,Jack Osbourne,3rd Place,unknown,,,11,11,0,0,
17,Keyshawn Johnson,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
17,Leah Remini,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
17,"Nicole ""Snooki"" Polizzi",Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
17,Valerie Harper,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
18,Amy Purdy,2nd Place,unknown,,,10,10,0,0,
18,Billy Dee Williams,Withdrew,withdrew,,2.0,2,2,0,1,
18,Candace Cameron Bure,3rd Place,unknown,,,10,10,0,0,
18,Charlie White,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
18,Cody Simpson,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
18,Danica McKellar,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
18,Diana Nyad,Eliminated Week 2,eliminated,2.0,1.0,1,1,1,0,
18,Drew Carey,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
18,James Maslow,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
18,Meryl Davis,1st Place,unknown,,,10,10,0,0,
