seed,alpha,n_sims,outlier_mults,mechanism,n_rows,champion_mode_prob_mean,champion_entropy_mean,tpi_season_avg_mean,fan_vs_uniform_contrast_mean,robust_fail_rate_mean
20260130,0.3,10,2.0,dynamic_weight,34,0.4735294117647058,1.083675538126307,0.7728667377012965,0.6176470588235294,0.7088235294117646
20260130,0.3,10,2.0,percent,34,0.488235294117647,1.081105647565681,0.7584568546179509,0.6735294117647059,0.6852941176470589
20260130,0.3,10,2.0,percent_cap,34,0.4735294117647059,1.0969080779942395,0.7520759102132765,0.6852941176470587,0.6794117647058825
20260130,0.3,10,2.0,percent_judge_save,34,0.47058823529411764,1.0587257476162677,0.79236802712538,0.6088235294117645,0.7205882352941175
20260130,0.3,10,2.0,percent_log,34,0.4588235294117647,1.176804922047141,0.7365695413578419,0.7147058823529411,0.7205882352941178
20260130,0.3,10,2.0,percent_sqrt,34,0.4764705882352941,1.0728983128963492,0.7661084130515948,0.6411764705882353,0.6676470588235294
20260130,0.3,10,2.0,rank,34,0.47058823529411764,1.085628407096823,0.7941602972891966,0.5852941176470587,0.6764705882352943
20260130,0.3,10,2.0+5.0,dynamic_weight,68,0.4735294117647058,1.083675538126307,0.7728667377012965,0.6176470588235297,0.738235294117647
20260130,0.3,10,2.0+5.0,percent,68,0.488235294117647,1.0811056475656808,0.758456854617951,0.6735294117647059,0.7382352941176469
20260130,0.3,10,2.0+5.0,percent_cap,68,0.4735294117647058,1.0969080779942388,0.7520759102132765,0.6852941176470589,0.7294117647058824
20260130,0.3,10,2.0+5.0,percent_judge_save,68,0.47058823529411764,1.0587257476162675,0.79236802712538,0.6088235294117649,0.7470588235294118
20260130,0.3,10,2.0+5.0,percent_log,68,0.4588235294117646,1.176804922047141,0.7365695413578419,0.7147058823529412,0.7529411764705882
20260130,0.3,10,2.0+5.0,percent_sqrt,68,0.476470588235294,1.0728983128963492,0.7661084130515947,0.6411764705882352,0.7205882352941178
20260130,0.3,10,2.0+5.0,rank,68,0.47058823529411764,1.085628407096823,0.7941602972891966,0.5852941176470587,0.7161764705882353
20260130,0.3,10,2.0+5.0+10.0,dynamic_weight,102,0.4735294117647058,1.0836755381263072,0.7728667377012965,0.6176470588235295,0.750980392156863
20260130,0.3,10,2.0+5.0+10.0,percent,102,0.48823529411764693,1.0811056475656808,0.7584568546179509,0.6735294117647059,0.7647058823529413
20260130,0.3,10,2.0+5.0+10.0,percent_cap,102,0.4735294117647058,1.0969080779942388,0.7520759102132766,0.685294117647059,0.7519607843137254
20260130,0.3,10,2.0+5.0+10.0,percent_judge_save,102,0.47058823529411753,1.0587257476162677,0.7923680271253801,0.6088235294117649,0.7568627450980394
20260130,0.3,10,2.0+5.0+10.0,percent_log,102,0.45882352941176463,1.176804922047141,0.7365695413578419,0.7147058823529414,0.7676470588235293
20260130,0.3,10,2.0+5.0+10.0,percent_sqrt,102,0.47647058823529403,1.072898312896349,0.7661084130515947,0.6411764705882352,0.7450980392156864
20260130,0.3,10,2.0+5.0+10.0,rank,102,0.47058823529411764,1.085628407096823,0.7941602972891968,0.5852941176470587,0.7421568627450981
20260130,0.3,20,2.0,dynamic_weight,34,0.4294117647058824,1.2011631833981362,0.766226229843495,0.651470588235294,0.7455882352941176
20260130,0.3,20,2.0,percent,34,0.42205882352941176,1.2236918379015957,0.7525333151559874,0.6720588235294118,0.751470588235294
20260130,0.3,20,2.0,percent_cap,34,0.42794117647058827,1.2227819407951208,0.7459443884715242,0.6720588235294118,0.7573529411764706
20260130,0.3,20,2.0,percent_judge_save,34,0.46617647058823536,1.137805611669128,0.7942629326259006,0.6294117647058823,0.7338235294117647
20260130,0.3,20,2.0,percent_log,34,0.4176470588235295,1.2541291077362573,0.7382957271690581,0.6823529411764706,0.775
20260130,0.3,20,2.0,percent_sqrt,34,0.4191176470588235,1.2392732406522355,0.7462916066969216,0.6852941176470589,0.7602941176470588
20260130,0.3,20,2.0,rank,34,0.4764705882352941,1.0857245391492127,0.7917639762008676,0.6088235294117647,0.7
20260130,0.3,20,2.0+5.0,dynamic_weight,68,0.4294117647058824,1.201163183398136,0.7662262298434951,0.651470588235294,0.7617647058823529
20260130,0.3,20,2.0+5.0,percent,68,0.4220588235294118,1.223691837901596,0.7525333151559873,0.6720588235294117,0.7713235294117646
20260130,0.3,20,2.0+5.0,percent_cap,68,0.42794117647058827,1.222781940795121,0.7459443884715244,0.6720588235294118,0.776470588235294
20260130,0.3,20,2.0+5.0,percent_judge_save,68,0.46617647058823536,1.137805611669128,0.7942629326259006,0.6294117647058826,0.7522058823529414
20260130,0.3,20,2.0+5.0,percent_log,68,0.4176470588235295,1.2541291077362573,0.7382957271690581,0.6823529411764707,0.7911764705882354
20260130,0.3,20,2.0+5.0,percent_sqrt,68,0.41911764705882365,1.2392732406522355,0.7462916066969217,0.6852941176470589,0.7779411764705881
20260130,0.3,20,2.0+5.0,rank,68,0.4764705882352941,1.0857245391492132,0.7917639762008675,0.6088235294117648,0.7220588235294116
20260130,0.3,20,2.0+5.0+10.0,dynamic_weight,102,0.42941176470588227,1.2011631833981362,0.7662262298434948,0.6514705882352941,0.7730392156862748
20260130,0.3,20,2.0+5.0+10.0,percent,102,0.42205882352941176,1.2236918379015957,0.7525333151559875,0.6720588235294117,0.7857843137254903
20260130,0.3,20,2.0+5.0+10.0,percent_cap,102,0.4279411764705882,1.222781940795121,0.7459443884715246,0.6720588235294116,0.7852941176470588
20260130,0.3,20,2.0+5.0+10.0,percent_judge_save,102,0.46617647058823514,1.1378056116691277,0.7942629326259006,0.6294117647058826,0.7558823529411766
20260130,0.3,20,2.0+5.0+10.0,percent_log,102,0.4176470588235292,1.2541291077362573,0.738295727169058,0.6823529411764707,0.7999999999999998
20260130,0.3,20,2.0+5.0+10.0,percent_sqrt,102,0.4191176470588235,1.2392732406522355,0.7462916066969217,0.6852941176470587,0.7872549019607844
20260130,0.3,20,2.0+5.0+10.0,rank,102,0.4764705882352942,1.085724539149213,0.7917639762008674,0.6088235294117649,0.7338235294117648
